block,n_pairs,ridge,ridge_lo,ridge_hi,gbt,gbt_lo,gbt_hi,diff,diff_lo,diff_hi,ridge_corr,gbt_corr
A,90,0.2759642301729749,0.18252442345096861,0.36677834710075247,0.3073381151939399,0.21401522629554867,0.40739944948030177,0.03137388502096502,-0.08933879293629476,0.17292258120349346,0.7518684377377355,0.6143115703829566
AB,90,0.459118594660349,0.31446786117319253,0.5961927116837786,0.5378459977308889,0.4310515075761447,0.6639174012516025,0.07872740307054005,-0.04872087505800063,0.2191608403087468,0.7358518845013857,0.6490133274605336
ABC,90,0.46965876180438554,0.3460520594417001,0.5943543081672812,0.579293612693537,0.464747774610863,0.7140963554365,0.10963485088915148,-0.025402308397586275,0.26153104399551574,0.7445226491153447,0.6579432893404236
