n,m,kappa,n_cross,copy_density,triple_fraction,loc_x,perfect_x,firstedge_x,perfect_over_loc,permuted_over_loc_mean,permuted_over_loc_lo,permuted_over_loc_hi,mindeg_over_loc,mindeg_capture,structural_share,structural_share_lo,structural_share_hi,perm_pvalue,n_perm,label,domain
242,8317,47,98621,11.857761211975472,1.0,4.3399192509767754,4.912267581698716,3.975077566460537,1.1318799492854903,0.99723562573749,0.9907457929111373,1.001521447307284,1.0068647621403954,0.05205311480318196,1.0209612930357268,0.9884633917776967,1.0701714486470528,0.0196078431372549,50,contact-primary-school,contact
327,5818,24,31850,5.474389824682022,1.0,7.1658939253767695,9.423074252900761,7.672910648344894,1.3149893580660719,0.9890917938861137,0.9787366200514802,0.9985106976082749,0.9626433014471747,-0.11859670047960605,1.0346303957087917,1.004728103834583,1.0675050740732,0.0196078431372549,50,contact-high-school,contact
143,1800,19,3317,1.8427777777777778,1.0,5.274675733503944,9.512701264944601,6.857578869663618,1.80346655331272,0.9758495214079883,0.9296705252620617,1.0212275501818873,0.9945041853424803,-0.006840128733250016,1.0300578518078176,0.9735800450007963,1.0875325481166174,0.0196078431372549,50,email-Enron,email
979,29299,55,234600,8.007099218403358,1.0,6.662427700628153,11.142991017896245,6.842073722828718,1.6725121109900603,0.9825930420902396,0.9732506699031883,0.9962053576700728,1.1455854503444312,0.21648004246362623,1.0258834861488728,1.0056424892101063,1.0397752392257023,0.0196078431372549,50,email-Eu,email
1149,6222,35,9064,1.45676631308261,1.0,5.679191626559656,23.189567711631113,14.919249694268931,4.08325149712881,0.9307309381120841,0.8508719042930992,1.0012506709555855,1.7416080286514333,0.24052790677050984,1.0224662379803986,0.9995943662212602,1.0483671526133278,0.0196078431372549,50,NDC-classes,drugs
3438,88268,97,1136357,12.873940725970908,1.0,7.290115036565477,14.129755131779467,7.984404694804074,1.9382074303228396,0.9815290898059169,0.9735872612075256,0.9915174429581479,1.419497691560785,0.44712680586683784,1.0196874482093232,1.0090412383953655,1.0281523445016691,0.0196078431372549,50,NDC-substances,drugs
2290,122963,193,5682552,46.21351138147248,0.7039090887333719,5.950622525645275,6.199304639619533,4.873988495524083,1.0417909408473682,0.9936242396763084,0.9898900454658585,0.997790659467926,0.9458061785685107,-1.296783952039265,1.152563215721261,1.0528664942036856,1.2419173708260318,0.0196078431372549,50,DAWN,drugs
1718,424932,368,44857465,105.56386668925852,0.08917133413580103,4.1814929672199135,4.461034041487031,3.978402079787637,1.066851977621039,0.9994554279676556,0.9952422179576572,1.0039351980518638,0.9827037644322064,-0.25872436662741716,1.008145937513343,0.9411356523486706,1.0711689049696183,0.0196078431372549,50,congress-bills,legislation
1627,91685,119,2666353,29.081670938539563,1.0,7.08782655369808,8.022732776771894,5.420841278259782,1.1319030898951705,0.9913011350891806,0.9877205415579234,0.9946620192668314,0.9980102409851576,-0.01508500685180153,1.0659489092919114,1.0404689589714002,1.0930945473061748,0.0196078431372549,50,tags-math-sx,tags
3021,132703,118,3288058,24.777570966745287,1.0,9.459705330240324,11.279654787422722,6.910168238982016,1.1923896562998082,0.9819395956210905,0.9795307777601372,0.986310357510527,1.0217858735281313,0.1132382787470734,1.0938740924343946,1.071155813429699,1.1063946089074814,0.0196078431372549,50,tags-ask-ubuntu,tags
