model,block,train,test,perfect_over_loc,learned_over_loc,capture,pred_corr
gbt,ABC,DAWN,senate-committees,1.3189930045470284,1.1701415465195137,0.53337077645673,0.8205211789136588
ridge,A,congress-bills,contact-primary-school,1.1318799492854903,1.0338946592548717,0.25701146716016243,0.7226254201552218
ridge,AB,congress-bills,contact-primary-school,1.1318799492854903,1.0326163936847648,0.2473188218639487,0.7157067418910324
ridge,ABC,congress-bills,contact-primary-school,1.1318799492854903,1.030106919285621,0.22829034624851308,0.7481049774547924
gbt,ABC,congress-bills,contact-primary-school,1.1318799492854903,1.00638662264986,0.04842754857324294,0.50244259764713
ridge,A,congress-bills,contact-high-school,1.3149893580660719,1.0021755600696414,0.006906773241478925,0.3705405756773088
ridge,AB,congress-bills,contact-high-school,1.3149893580660719,0.9762372024611916,-0.0754400011629089,0.3041918223787708
ridge,ABC,congress-bills,contact-high-school,1.3149893580660719,0.9843673130721904,-0.04962925421921879,0.34041825946271903
gbt,ABC,congress-bills,contact-high-school,1.3149893580660719,1.0049634034453638,0.01575736868012765,0.10311517834480875
ridge,A,congress-bills,email-Enron,1.80346655331272,0.9979134893724732,-0.00259688548194582,0.38458186676708717
ridge,AB,congress-bills,email-Enron,1.80346655331272,1.0187741875848222,0.02336648303207591,0.4099512828696257
ridge,ABC,congress-bills,email-Enron,1.80346655331272,1.0975207059227778,0.12137494152145678,0.4871093147997657
gbt,ABC,congress-bills,email-Enron,1.80346655331272,1.0252553759135,0.03143301461569387,0.32681351128908626
ridge,A,congress-bills,email-Eu,1.6725121109900603,1.2239162040471117,0.33295490205740125,0.7994124598317872
ridge,AB,congress-bills,email-Eu,1.6725121109900603,1.241955567814334,0.35977875172854695,0.7592969269445082
ridge,ABC,congress-bills,email-Eu,1.6725121109900603,1.3130395121175433,0.4654778806238778,0.7817389882937561
gbt,ABC,congress-bills,email-Eu,1.6725121109900603,1.3379589167715304,0.502532090126962,0.794309274968363
ridge,A,congress-bills,NDC-classes,4.08325149712881,1.6291784643490343,0.20406329646963242,0.7448405589598982
ridge,AB,congress-bills,NDC-classes,4.08325149712881,2.1697652833997765,0.3793934048160155,0.7638784202018022
ridge,ABC,congress-bills,NDC-classes,4.08325149712881,2.291327058091512,0.41881989169356554,0.767835587460107
gbt,ABC,congress-bills,NDC-classes,4.08325149712881,1.2777681369444494,0.09008935443738957,0.5442262899075905
ridge,A,congress-bills,NDC-substances,1.9382074303228396,1.6506782822422568,0.693533499322593,0.9400829511407286
ridge,AB,congress-bills,NDC-substances,1.9382074303228396,1.6609498277826924,0.7044815532480465,0.917899087847242
ridge,ABC,congress-bills,NDC-substances,1.9382074303228396,1.6356952566960468,0.6775636561280509,0.9179722681643903
gbt,ABC,congress-bills,NDC-substances,1.9382074303228396,1.6460621829544988,0.6886133727721461,0.8984235471994563
ridge,A,congress-bills,DAWN,1.0417909408473682,1.0246535041870644,0.589924602968514,0.9605577173093671
ridge,AB,congress-bills,DAWN,1.0417909408473682,1.0393514001932365,0.9416251320341978,0.9539447105276743
ridge,ABC,congress-bills,DAWN,1.0417909408473682,1.0348570458736008,0.8340813862245445,0.9641366092738136
gbt,ABC,congress-bills,DAWN,1.0417909408473682,1.09055752967287,2.1669177060073976,0.8707535906434162
ridge,A,congress-bills,tags-math-sx,1.1319030898951705,1.0918322189812373,0.69620976319979,0.9356533446171712
ridge,AB,congress-bills,tags-math-sx,1.1319030898951705,1.087666113713295,0.6646251712751182,0.9380089049326696
ridge,ABC,congress-bills,tags-math-sx,1.1319030898951705,1.0814307899170816,0.6173531642192647,0.9439739722673756
gbt,ABC,congress-bills,tags-math-sx,1.1319030898951705,1.0474313579641392,0.35959247051630944,0.8039338623540784
ridge,A,congress-bills,tags-ask-ubuntu,1.1923896562998082,1.1424887759951385,0.7406259709362587,0.9386643246145456
ridge,AB,congress-bills,tags-ask-ubuntu,1.1923896562998082,1.135919451168331,0.7064800352703086,0.9450518954435326
ridge,ABC,congress-bills,tags-ask-ubuntu,1.1923896562998082,1.1253336225857362,0.6514571780845848,0.9508124948469071
gbt,ABC,congress-bills,tags-ask-ubuntu,1.1923896562998082,1.0675744543803214,0.35123746089040003,0.8339626716795944
ridge,A,congress-bills,cs-cocitations,1.498426821066899,1.0867437704939884,0.174035117749704,0.6230257660866731
ridge,AB,congress-bills,cs-cocitations,1.498426821066899,1.1163408727526833,0.23341615626472886,0.6436039149335278
