block,lam,n_pairs,capture_mean,capture_lo,capture_hi,corr_mean,learned_over_loc_mean
A,0.1,90,0.2757929183817387,0.1830368925983792,0.37061262641531606,0.7518013694701163,1.1821442249939285
A,1.0,90,0.2759642301729749,0.18326505153631953,0.3707280991219235,0.7518684377377355,1.1821684899451967
A,10.0,90,0.27760063045654604,0.18617965107024836,0.3718284649836205,0.7525088452000235,1.1823994555093162
AB,0.1,90,0.458958223638091,0.3093933702518483,0.6037781164426055,0.7357792226195664,1.2460830242680598
AB,1.0,90,0.459118594660349,0.30986807821927886,0.6035629366375825,0.7358518845013857,1.2460899756766577
AB,10.0,90,0.46003599767491726,0.3143530016367577,0.6046451140273008,0.7364621645442304,1.246056942404329
ABC,0.1,90,0.4698829198822503,0.3422074646046195,0.6006905296556551,0.7445814503248783,1.2605415429269224
ABC,1.0,90,0.46965876180438554,0.34183261413483146,0.6001277749049839,0.7445226491153447,1.2603533065618417
ABC,10.0,90,0.46717680373845155,0.33830366333820944,0.5991786534169615,0.7438921154286848,1.2586805820236873
