model,block,n_pairs,capture,lo,hi,corr
gbt,ABC,812,0.345528606051678,0.22833508792788937,0.4896967393133014,0.5155368830162296
ridge,A,812,0.11158276644333961,0.0024429669376242764,0.23110200437731937,0.49629555995565877
ridge,AB,812,0.5474247688907439,0.3813550519371238,0.7367878934445274,0.6388326824115222
ridge,ABC,812,0.5451189976636098,0.39284923893992674,0.7247788072100622,0.6387321173724754
